text,label
Scale the Danish pastry for 10 portions and list what's needed,scale_recipe
I need to order ingredients for croissant,build_indent
Can you double check the country loaf recipe for errors?,check_anomaly
What yield should I expect from the pate sucree recipe?,find_recipe
What happens chemically if cinnamon rolls dough is overmixed?,general
Is there a problem with the hydration in the viennoiserie dough?,check_anomaly
Scale the sourdough starter recipe for 40 students and show me the ingredients,scale_recipe
Where's the recipe card for lemon meringue tart?,find_recipe
What's the smoke point difference between butter and clarified butter?,general
Review the ganache for any wrong ratios,check_anomaly
List out the ingredients for kouign-amann,find_recipe
Scale the creme patissiere to 10 portions,scale_recipe
List the ingredients in the cinnamon rolls recipe,find_recipe
Can you double check the pain au chocolat recipe for errors?,check_anomaly
Give me the sourdough loaf recipe for 1500g,scale_recipe
Why do bakers rest macarons dough in the fridge overnight?,general
I'll need the pain au levain recipe made for 700g,scale_recipe
How do I make opera cake?,find_recipe
Adjust the babka recipe for 50 portions,scale_recipe
I need the ingredient list for croissant,find_recipe
Triple the palmiers batch and show me what ingredients I'll need,scale_recipe
Check if the brioche recipe has any anomalies,check_anomaly
Validate the measurements in the puff pastry,check_anomaly
Generate a purchase list for eclairs,build_indent
Make a prep list for tart tatin production,build_indent
"Let me double check, is bread flour the same thing as strong flour?",general
Double the macarons recipe and give me the updated ingredient list,scale_recipe
Halve the banana tart recipe,scale_recipe
I need to order ingredients for choux pastry,build_indent
Review the cinnamon rolls for any wrong ratios,check_anomaly
How do I make cinnamon rolls?,find_recipe
Double the sourdough starter,scale_recipe
What's the purpose of scoring bread dough before it goes in the oven?,general
Put together an ordering sheet for opera cake,build_indent
Can you list what's in the lemon meringue tart?,find_recipe
Why do bakers rest pate sucree dough in the fridge overnight?,general
Show me the kouign-amann recipe for 2000g,scale_recipe
Why does tart tatin dough need to rest before it's baked?,general
How many servings does a batch of country loaf produce?,find_recipe
I need this recipe for 100 students,scale_recipe
Scale viennoiserie dough to 500g,scale_recipe
Can I get the recipe for macarons?,find_recipe
Adjust the viennoiserie dough for 30 portions and show the recipe details,scale_recipe
Double the pain au levain recipe and give me the updated ingredient list,scale_recipe
Put together an ordering sheet for cinnamon rolls,build_indent
Check the banana tart recipe for ratio errors,check_anomaly
I need to order ingredients for next week's pain au chocolat class,build_indent
What causes puff pastry to turn out dense instead of light?,general
"Consolidate all ingredients for brioche, babka, and cinnamon rolls",build_indent
Can you double check the Danish pastry recipe for errors?,check_anomaly
What happens chemically if pate sucree dough is overmixed?,general
Make a prep list for sourdough starter production,build_indent
Flag any anomalies in the puff pastry recipe,check_anomaly
Why is checking dough temperature important during mixing?,general
What goes into making lemon meringue tart?,find_recipe
Put together an ordering sheet for choux pastry,build_indent
I need to order ingredients for palmiers,build_indent
Multiply the opera cake recipe by 20,scale_recipe
Put together an ordering sheet for tart tatin,build_indent
Check if the opera cake recipe has any anomalies,check_anomaly
Is there a problem with the hydration in the Danish pastry?,check_anomaly
Is there a problem with the hydration in the kouign-amann?,check_anomaly
Adjust the creme patissiere for 100 portions and show the recipe details,scale_recipe
Can you double check the croissant recipe for errors?,check_anomaly
Why is temperature control especially important when making tart tatin?,general
Scale the kouign-amann recipe for 40 students and show me the ingredients,scale_recipe
List out the ingredients for macarons,find_recipe
Why does macarons dough need to rest before it's baked?,general
Double check for me -- do you need to sift powdered sugar before using it?,general
List the ingredients in the sourdough loaf recipe,find_recipe
What causes brioche to turn out dense instead of light?,general
Flag any anomalies in the sourdough loaf recipe,check_anomaly
Is there a problem with the hydration in the brioche?,check_anomaly
Show me the choux pastry recipe,find_recipe
List out the ingredients for brioche,find_recipe
Halve the lemon meringue tart recipe,scale_recipe
Adjust the eclairs recipe for 100 portions,scale_recipe
Make choux pastry for 30 people,scale_recipe
What's the correct way to laminate butter into dough in general?,general
I need the ingredient list for pain au levain,find_recipe
What's the difference between Dutch-process and natural cocoa powder?,general
Review the puff pastry for any wrong ratios,check_anomaly
What yield should I expect from the lemon meringue tart recipe?,find_recipe
I need to order ingredients for ganache,build_indent
Multiply the eclairs recipe by 50,scale_recipe
Triple the sourdough starter batch,scale_recipe
Why do some pastry doughs need to stay cold while you work with them?,general
Check if the sourdough loaf recipe has any anomalies,check_anomaly
Validate the ganache ratios,check_anomaly
Can I get the recipe for sourdough loaf?,find_recipe
Halve the eclairs recipe,scale_recipe
I need to order ingredients for next week's puff pastry class,build_indent
Is there a problem with the hydration in the lemon meringue tart?,check_anomaly
Adjust the country loaf recipe for 24 portions,scale_recipe
I need to order ingredients for pate sucree,build_indent
Scale pate sucree to 700g,scale_recipe
Scale eclairs to 700g,scale_recipe
Why do you fold laminated dough instead of just rolling it out flat?,general
Show me a recipe that yields about 10 portions,find_recipe
Is there a problem with the hydration in the macarons?,check_anomaly
Why does egg wash give pastry a shiny golden crust?,general
Review the brioche for any wrong ratios,check_anomaly
How many servings does a batch of sourdough loaf produce?,find_recipe
What happens chemically if sourdough starter dough is overmixed?,general
What's considered the correct hydration percentage for a baguette?,general
Scale the viennoiserie dough recipe for 30 students and show me the ingredients,scale_recipe
Why does Danish pastry dough need to rest before it's baked?,general
What role does gluten development play in a laminated pastry?,general
What's a typical ratio of sugar to egg whites in a good meringue?,general
Halve the Danish pastry recipe,scale_recipe
What's a good hydration ratio for a rustic loaf in general?,general
List the ingredients in the pate sucree recipe,find_recipe
"Compile all the ingredients needed for croissants, financiers, and tarts",build_indent
"Something feels off about the sourdough loaf recipe, can you check it?",check_anomaly
Generate a purchase list for sourdough starter,build_indent
Why do bakers rest lemon meringue tart dough in the fridge overnight?,general
How do you check whether yeast is still active before using it?,general
Why is temperature control especially important when making babka?,general
I'll need the pate a choux recipe made for 700g,scale_recipe
Make ganache for 20 people,scale_recipe
How many servings does a batch of puff pastry produce?,find_recipe
What order should a beginner learn pastry techniques in?,general
"What's the correct internal temperature to check for a baked custard, generally speaking?",general
Validate the measurements in the country loaf,check_anomaly
I need the creme patissiere recipe for 2000g,scale_recipe
What's in a classic opera cake?,find_recipe
"Something feels off about the sourdough starter recipe, can you check it?",check_anomaly
Why is temperature control especially important when making sourdough starter?,general
How do I make pate sucree?,find_recipe
What causes viennoiserie dough to turn out dense instead of light?,general
What's in a classic pate sucree?,find_recipe
Scale pain au levain to 700g,scale_recipe
Scale the pate a choux to 30 portions,scale_recipe
Check if the macarons recipe has any anomalies,check_anomaly
Validate the measurements in the opera cake,check_anomaly
I need to order ingredients for next week's macarons class,build_indent
Flag any anomalies in the sourdough starter recipe,check_anomaly
Double the palmiers,scale_recipe
How do you review whether any dough has been kneaded enough?,general
Can I get the financier for 1500g,scale_recipe
Show me the eclairs recipe for 1500g,scale_recipe
I need to order ingredients for next week's kouign-amann class,build_indent
Check if the eclairs recipe has any anomalies,check_anomaly
"Something feels off about the financier recipe, can you check it?",check_anomaly
Can you list what's in the sourdough starter?,find_recipe
Scale the macarons for 75 portions and list what's needed,scale_recipe
What ingredients go into a sourdough loaf?,find_recipe
Why does whipped cream deflate faster in a warm kitchen?,general
Show me a recipe that yields about 50 portions,find_recipe
What's in a classic brioche?,find_recipe
"Something feels off about the babka recipe, can you check it?",check_anomaly
Show me the pain au levain recipe for 2000g,scale_recipe
Make a prep list for babka production,build_indent
Validate the cinnamon rolls ratios,check_anomaly
Double the viennoiserie dough recipe and give me the updated ingredient list,scale_recipe
"Consolidate all ingredients for macarons, eclairs, and palmiers",build_indent
"Something feels off about the puff pastry recipe, can you check it?",check_anomaly
What causes pain au chocolat to turn out dense instead of light?,general
Check if the tart tatin recipe has any anomalies,check_anomaly
What goes into making sourdough starter?,find_recipe
How do I make tart tatin?,find_recipe
I need this recipe for 30 students,scale_recipe
Adjust the macarons recipe for 30 portions,scale_recipe
Give me the choux pastry recipe,find_recipe
I need to order ingredients for lemon meringue tart,build_indent
Give me the creme patissiere recipe,find_recipe
What happens chemically if Danish pastry dough is overmixed?,general
What yield should I expect from the sourdough starter recipe?,find_recipe
Review the choux pastry for any wrong ratios,check_anomaly
Validate the puff pastry ratios,check_anomaly
Can you double check why caramel tends to seize up?,general
Give me the sourdough starter recipe for 1500g,scale_recipe
Quadruple the babka,scale_recipe
Double the financier,scale_recipe
Validate the measurements in the macarons,check_anomaly
Check if the viennoiserie dough recipe has any anomalies,check_anomaly
How many portions does the pate a choux recipe make?,find_recipe
What's in a classic lemon meringue tart?,find_recipe
Can I get the choux pastry for 400g,scale_recipe
Can you double check the opera cake recipe for errors?,check_anomaly
Where's the recipe card for kouign-amann?,find_recipe
Validate the sourdough starter ratios,check_anomaly
Show me the ganache recipe for 400g,scale_recipe
Pull up the croissant recipe,find_recipe
Compile all the ingredients needed for the viennoiserie class,build_indent
Validate the country loaf ratios,check_anomaly
Show me the pain au chocolat recipe,find_recipe
How many portions does the croissant recipe make?,find_recipe
Pull up the financier recipe,find_recipe
Validate the viennoiserie dough ratios,check_anomaly
I need to order ingredients for pate a choux,build_indent
Can you double check the puff pastry recipe for errors?,check_anomaly
Generate a purchase list for opera cake,build_indent
Flag any anomalies in the pate sucree recipe,check_anomaly
Can you double check the macarons recipe for errors?,check_anomaly
What's the science behind why long fermentation improves sourdough flavor?,general
Scale the pain au levain for 24 portions and list what's needed,scale_recipe
How many portions does the ganache recipe make?,find_recipe
Check the eclairs recipe for ratio errors,check_anomaly
Adjust the palmiers for 12 portions and show the recipe details,scale_recipe
Can I get the Danish pastry for 250g,scale_recipe
Multiply the macarons recipe by 12,scale_recipe
Make banana tart for 12 people,scale_recipe
Check the tart tatin recipe for ratio errors,check_anomaly
"Consolidate all ingredients for croissants, financiers, and tarts",build_indent
Do we have a recipe for eclairs?,find_recipe
Multiply the kouign-amann by 24 and give me the full ingredient list,scale_recipe
Why do bakers rest tart tatin dough in the fridge overnight?,general
I need to order ingredients for next week's Danish pastry class,build_indent
What ingredients go into a palmiers?,find_recipe
Put together an ordering sheet for sourdough loaf,build_indent
Build an indent sheet for the tart tatin and financiers,build_indent
Pull up the kouign-amann recipe,find_recipe
What yield should I expect from the pain au levain recipe?,find_recipe
Flag any anomalies in the financier recipe,check_anomaly
Make the palmiers for 1000g,scale_recipe
I need to order ingredients for banana tart,build_indent
How many portions does the choux pastry recipe make?,find_recipe
Triple the lemon meringue tart batch and show me what ingredients I'll need,scale_recipe
Pull up the pate sucree recipe,find_recipe
Show me the pate a choux recipe,find_recipe
Can you list what's in the Danish pastry?,find_recipe
Validate the Danish pastry ratios,check_anomaly
Why does ganache dough need to rest before it's baked?,general
Check the pain au levain recipe for ratio errors,check_anomaly
I'll need the opera cake recipe made for 500g,scale_recipe
I need this recipe for 60 students,scale_recipe
What goes into making palmiers?,find_recipe
I need to order ingredients for next week's palmiers class,build_indent
How many servings does a batch of cinnamon rolls produce?,find_recipe
What yield should I expect from the Danish pastry recipe?,find_recipe
Can I get the babka for 500g,scale_recipe
Is there a problem with the hydration in the sourdough starter?,check_anomaly
Where's the recipe card for pate a choux?,find_recipe
Show me the ganache recipe,find_recipe
Make babka for 40 people,scale_recipe
I should double check -- does baking soda expire over time?,general
What causes macarons to develop feet during baking?,general
Make the opera cake for 2000g,scale_recipe
Multiply the creme patissiere by 20 and give me the full ingredient list,scale_recipe
Put together an ordering sheet for pain au chocolat,build_indent
Triple the viennoiserie dough batch and show me what ingredients I'll need,scale_recipe
